bill_id,chamber,date_effective,first_action_date,latest_action_date,latest_action_description,leg_type,openstates_url,sponsor10_district,sponsor10_name,sponsor10_party,sponsor10_role,sponsor10_title,sponsor11_district,sponsor11_name,sponsor11_party,sponsor11_role,sponsor11_title,sponsor12_district,sponsor12_name,sponsor12_party,sponsor12_role,sponsor12_title,sponsor13_district,sponsor13_name,sponsor13_party,sponsor13_role,sponsor13_title,sponsor14_district,sponsor14_name,sponsor14_party,sponsor14_role,sponsor14_title,sponsor15_district,sponsor15_name,sponsor15_party,sponsor15_role,sponsor15_title,sponsor16_district,sponsor16_name,sponsor16_party,sponsor16_role,sponsor16_title,sponsor17_district,sponsor17_name,sponsor17_party,sponsor17_role,sponsor17_title,sponsor18_district,sponsor18_name,sponsor18_party,sponsor18_role,sponsor18_title,sponsor19_district,sponsor19_name,sponsor19_party,sponsor19_role,sponsor19_title,sponsor1_district,sponsor1_name,sponsor1_party,sponsor1_role,sponsor1_title,sponsor20_district,sponsor20_name,sponsor20_party,sponsor20_role,sponsor20_title,sponsor21_district,sponsor21_name,sponsor21_party,sponsor21_role,sponsor21_title,sponsor22_district,sponsor22_name,sponsor22_party,sponsor22_role,sponsor22_title,sponsor23_district,sponsor23_name,sponsor23_party,sponsor23_role,sponsor23_title,sponsor24_district,sponsor24_name,sponsor24_party,sponsor24_role,sponsor24_title,sponsor25_district,sponsor25_name,sponsor25_party,sponsor25_role,sponsor25_title,sponsor26_district,sponsor26_name,sponsor26_party,sponsor26_role,sponsor26_title,sponsor27_district,sponsor27_name,sponsor27_party,sponsor27_role,sponsor27_title,sponsor28_district,sponsor28_name,sponsor28_party,sponsor28_role,sponsor28_title,sponsor29_district,sponsor29_name,sponsor29_party,sponsor29_role,sponsor29_title,sponsor2_district,sponsor2_name,sponsor2_party,sponsor2_role,sponsor2_title,sponsor30_district,sponsor30_name,sponsor30_party,sponsor30_role,sponsor30_title,sponsor31_district,sponsor31_name,sponsor31_party,sponsor31_role,sponsor31_title,sponsor32_district,sponsor32_name,sponsor32_party,sponsor32_role,sponsor32_title,sponsor33_district,sponsor33_name,sponsor33_party,sponsor33_role,sponsor33_title,sponsor34_district,sponsor34_name,sponsor34_party,sponsor34_role,sponsor34_title,sponsor35_district,sponsor35_name,sponsor35_party,sponsor35_role,sponsor35_title,sponsor36_district,sponsor36_name,sponsor36_party,sponsor36_role,sponsor36_title,sponsor37_district,sponsor37_name,sponsor37_party,sponsor37_role,sponsor37_title,sponsor38_district,sponsor38_name,sponsor38_party,sponsor38_role,sponsor38_title,sponsor39_district,sponsor39_name,sponsor39_party,sponsor39_role,sponsor39_title,sponsor3_district,sponsor3_name,sponsor3_party,sponsor3_role,sponsor3_title,sponsor40_district,sponsor40_name,sponsor40_party,sponsor40_role,sponsor40_title,sponsor41_district,sponsor41_name,sponsor41_party,sponsor41_role,sponsor41_title,sponsor42_district,sponsor42_name,sponsor42_party,sponsor42_role,sponsor42_title,sponsor43_district,sponsor43_name,sponsor43_party,sponsor43_role,sponsor43_title,sponsor44_district,sponsor44_name,sponsor44_party,sponsor44_role,sponsor44_title,sponsor45_district,sponsor45_name,sponsor45_party,sponsor45_role,sponsor45_title,sponsor46_district,sponsor46_name,sponsor46_party,sponsor46_role,sponsor46_title,sponsor47_district,sponsor47_name,sponsor47_party,sponsor47_role,sponsor47_title,sponsor48_district,sponsor48_name,sponsor48_party,sponsor48_role,sponsor48_title,sponsor49_district,sponsor49_name,sponsor49_party,sponsor49_role,sponsor49_title,sponsor4_district,sponsor4_name,sponsor4_party,sponsor4_role,sponsor4_title,sponsor50_district,sponsor50_name,sponsor50_party,sponsor50_role,sponsor50_title,sponsor51_district,sponsor51_name,sponsor51_party,sponsor51_role,sponsor51_title,sponsor52_district,sponsor52_name,sponsor52_party,sponsor52_role,sponsor52_title,sponsor53_district,sponsor53_name,sponsor53_party,sponsor53_role,sponsor53_title,sponsor54_district,sponsor54_name,sponsor54_party,sponsor54_role,sponsor54_title,sponsor55_district,sponsor55_name,sponsor55_party,sponsor55_role,sponsor55_title,sponsor56_district,sponsor56_name,sponsor56_party,sponsor56_role,sponsor56_title,sponsor57_district,sponsor57_name,sponsor57_party,sponsor57_role,sponsor57_title,sponsor58_district,sponsor58_name,sponsor58_party,sponsor58_role,sponsor58_title,sponsor59_district,sponsor59_name,sponsor59_party,sponsor59_role,sponsor59_title,sponsor5_district,sponsor5_name,sponsor5_party,sponsor5_role,sponsor5_title,sponsor60_district,sponsor60_name,sponsor60_party,sponsor60_role,sponsor60_title,sponsor61_district,sponsor61_name,sponsor61_party,sponsor61_role,sponsor61_title,sponsor62_district,sponsor62_name,sponsor62_party,sponsor62_role,sponsor62_title,sponsor63_district,sponsor63_name,sponsor63_party,sponsor63_role,sponsor63_title,sponsor64_district,sponsor64_name,sponsor64_party,sponsor64_role,sponsor64_title,sponsor6_district,sponsor6_name,sponsor6_party,sponsor6_role,sponsor6_title,sponsor7_district,sponsor7_name,sponsor7_party,sponsor7_role,sponsor7_title,sponsor8_district,sponsor8_name,sponsor8_party,sponsor8_role,sponsor8_title,sponsor9_district,sponsor9_name,sponsor9_party,sponsor9_role,sponsor9_title,title
HB 593,House,"October 1, 2025",2025-01-23,2025-05-20,Approved by the Governor - Chapter 614,bill,https://openstates.org/md/bills/2025/HB593/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,Adrian Boafo,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,Marvin Holmes,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,Kym Taylor,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Libraries - Automated External Defibrillator Program (Raymono A. Russell Act)
SB 931,Senate,"July 1, 2025",2025-02-03,2025-05-20,Approved by the Governor - Chapter 623,bill,https://openstates.org/md/bills/2025/SB931/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Brian Feldman,Democratic,primary,Senator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Utilities - Generating Stations - Generation and Siting (Renewable Energy Certainty Act)
HB 406,House,"July 1, 2025",2025-01-16,2025-05-20,Approved by the Governor - Chapter 739,bill,https://openstates.org/md/bills/2025/HB406/,19,Bonnie Cullison,Democratic,primary,Delegate,37B,Tom Hutchinson,Republican,primary,Delegate,34A,Steve Johnson,Democratic,primary,Delegate,14,Anne Kaiser,Democratic,primary,Delegate,3,Ken Kerr,Democratic,primary,Delegate,31,Nic Kipke,Republican,primary,Delegate,39,Lesley Lopez,Democratic,primary,Delegate,,Martinez,,primary,,21,Joseline Peña-Melnyk,Democratic,primary,Delegate,35A,Teresa Reilly,Republican,primary,Delegate,16,Teresa Woorman,Democratic,primary,Delegate,41,Sandy Rosenberg,Democratic,primary,Delegate,7A,Kathy Szeliga,Republican,primary,Delegate,47B,Deni Taveras,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,Pam Guzzone,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12A,Terri Hill,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Emily Shetty,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Jennifer White Holland,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,26,Jamila Woods,Democratic,primary,Delegate,33C,Heather Bagnall Tudball,Democratic,primary,Delegate,8,Harry Bhandari,Democratic,primary,Delegate,31,Brian Chisholm,Republican,primary,Delegate,"State Board of Examiners for Audiologists, Hearing Aid Dispensers, Speech-Language Pathologists, and Music Therapists - Appointment of Hearing Aid Dispenser Members"
HB 1174,House,"July 1, 2025",2025-02-06,2025-05-20,Approved by the Governor - Chapter 837,bill,https://openstates.org/md/bills/2025/HB1174/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montgomery County Delegation,,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montgomery County - Alcoholic Beverages - Class BD-BWL Licenses - Multiple Licenses MC 18-25
HB 971,House,"October 1, 2025",2025-01-31,2025-05-20,Approved by the Governor - Chapter 657,bill,https://openstates.org/md/bills/2025/HB971/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33A,Andrew Pruski,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anne Arundel County Crownsville Hospital Memorial Park Advisory Committee
HB 546,House,"January 1, 2026",2025-01-22,2025-05-20,Approved by the Governor - Chapter 677,bill,https://openstates.org/md/bills/2025/HB546/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12A,Jessica Feldmark,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digital Advertising Gross Revenues Tax - Assessments - Appeals and Corrections
HB 757,House,"July 1, 2025",2025-01-27,2025-05-20,Approved by the Governor - Chapter 639,bill,https://openstates.org/md/bills/2025/HB757/,31,Brian Chisholm,Republican,primary,Delegate,13,Pam Guzzone,Democratic,primary,Delegate,12A,Terri Hill,Democratic,primary,Delegate,37B,Tom Hutchinson,Republican,primary,Delegate,34A,Steve Johnson,Democratic,primary,Delegate,3,Ken Kerr,Democratic,primary,Delegate,31,Nic Kipke,Republican,primary,Delegate,39,Lesley Lopez,Democratic,primary,Delegate,,Martinez,,primary,,29A,Matt Morgan,Republican,primary,Delegate,14,Anne Kaiser,Democratic,primary,Delegate,35A,Teresa Reilly,Republican,primary,Delegate,41,Sandy Rosenberg,Democratic,primary,Delegate,8,Kim Ross,Democratic,primary,Delegate,7A,Kathy Szeliga,Republican,primary,Delegate,47B,Deni Taveras,Democratic,primary,Delegate,10,Jennifer White Holland,Democratic,primary,Delegate,26,Jamila Woods,Democratic,primary,Delegate,16,Teresa Woorman,Democratic,primary,Delegate,,,,,,,,,,,23,Marvin Holmes,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34B,Susan McComas,Republican,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,Edith Patterson,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44B,Sheila Ruth,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,21,Joseline Peña-Melnyk,Democratic,primary,Delegate,19,Bonnie Cullison,Democratic,primary,Delegate,33C,Heather Bagnall Tudball,Democratic,primary,Delegate,8,Harry Bhandari,Democratic,primary,Delegate,Professional and Volunteer Firefighter Innovative Cancer Screening Technologies Program - Funding
HB 850,House,"July 1, 2025",2025-01-30,2025-05-20,Approved by the Governor - Chapter 717,bill,https://openstates.org/md/bills/2025/HB850/,32,Mike Rogers,Democratic,primary,Delegate,23,Kym Taylor,Democratic,primary,Delegate,26,Kris Valderrama,Democratic,primary,Delegate,10,Jennifer White Holland,Democratic,primary,Delegate,24,Tiffany Alston,Democratic,primary,Delegate,33C,Heather Bagnall Tudball,Democratic,primary,Delegate,8,Harry Bhandari,Democratic,primary,Delegate,19,Bonnie Cullison,Democratic,primary,Delegate,13,Pam Guzzone,Democratic,primary,Delegate,12A,Terri Hill,Democratic,primary,Delegate,22,Nicole Williams,Democratic,primary,Delegate,34A,Steve Johnson,Democratic,primary,Delegate,14,Anne Kaiser,Democratic,primary,Delegate,3,Ken Kerr,Democratic,primary,Delegate,39,Lesley Lopez,Democratic,primary,Delegate,,Martinez,,primary,,41,Sandy Rosenberg,Democratic,primary,Delegate,8,Kim Ross,Democratic,primary,Delegate,47B,Deni Taveras,Democratic,primary,Delegate,26,Jamila Woods,Democratic,primary,Delegate,16,Teresa Woorman,Democratic,primary,Delegate,20,Lorig Charkoudian,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Kris Fair,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12A,Jessica Feldmark,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Linda Foley,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,17,Julie Palakovich Carr,Democratic,primary,Delegate,11A,Cheryl Pasteur,Democratic,primary,Delegate,21,Joseline Peña-Melnyk,Democratic,primary,Delegate,33A,Andrew Pruski,Democratic,primary,Delegate,Workgroup on the Creation of a Data Dashboard for Public Work Contracts and Apprentices - Establishment
HB 1029,House,"July 1, 2025",2025-02-03,2025-05-20,Approved by the Governor - Chapter 777,bill,https://openstates.org/md/bills/2025/HB1029/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43B,Cathi Forbes,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chair, Joint Committee on Pensions",,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Correctional Officers' Retirement System - Membership - Clarifications
HB 409,House,"July 1, 2025",2025-01-16,2025-05-20,Approved by the Governor - Chapter 816,bill,https://openstates.org/md/bills/2025/HB409/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33A,Andrew Pruski,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anne Arundel County - Board of License Commissioners - Part-Time Deputy Chief Inspector - Compensation
HB 574,House,"July 1, 2025",2025-01-23,2025-05-20,Approved by the Governor - Chapter 840,bill,https://openstates.org/md/bills/2025/HB574/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Mary's County Delegation,,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Mary's County - Alcoholic Beverages Licenses - Multiple Licensing Plans
HB 566,House,"July 1, 2025",2025-01-23,2025-05-20,Approved by the Governor - Chapter 832,bill,https://openstates.org/md/bills/2025/HB566/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorchester County Delegation,,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorchester County - Alcoholic Beverages Licenses - Fees
SB 921,Senate,"January 1, 2026",2025-02-03,2025-05-20,Approved by the Governor - Chapter 707,bill,https://openstates.org/md/bills/2025/SB921/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,Dawn Gile,Democratic,primary,Senator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health Insurance - Step Therapy or Fail-First Protocols - Drugs to Treat Associated Conditions of Advanced Metastatic Cancer
SB 939,Senate,"July 1, 2025",2025-02-03,2025-05-20,Approved by the Governor - Chapter 811,bill,https://openstates.org/md/bills/2025/SB939/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Antonio Hayes,Democratic,primary,Senator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baltimore City - Alcoholic Beverages - Authorizations and Revisions
SB 731,Senate,"July 1, 2025",2025-01-31,2025-05-20,Approved by the Governor - Chapter 785,bill,https://openstates.org/md/bills/2025/SB731/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles County Senators,,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles County - Alcoholic Beverages - Baseball Stadium License - Alterations
HB 584,House,"June 1, 2025",2025-01-23,2025-05-20,Approved by the Governor - Chapter 769,bill,https://openstates.org/md/bills/2025/HB584/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43B,Cathi Forbes,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chair, Joint Committee on Pensions",,primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,State Retirement and Pension System - Transfers Between Systems - Workgroup
SB 599,Senate,"July 1, 2025",2025-01-27,2025-05-20,Approved by the Governor - Chapter 666,bill,https://openstates.org/md/bills/2025/SB599/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,Shelly Hettleman,Democratic,primary,Senator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,Malcolm Augustine,Democratic,primary,Senator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Behavioral Health Crisis Response Grant Program - Funding
HB 1510,House,"October 1, 2025",2025-02-17,2025-05-20,Approved by the Governor - Chapter 695,bill,https://openstates.org/md/bills/2025/HB1510/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Jesse Pippy,Republican,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12A,Terri Hill,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Ken Kerr,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical Records - Notice of Destruction - Method
HB 820,House,"October 1, 2025",2025-01-29,2025-05-20,Approved by the Governor - Chapter 747,bill,https://openstates.org/md/bills/2025/HB820/,8,Harry Bhandari,Democratic,primary,Delegate,31,Brian Chisholm,Republican,primary,Delegate,19,Bonnie Cullison,Democratic,primary,Delegate,13,Pam Guzzone,Democratic,primary,Delegate,37B,Tom Hutchinson,Republican,primary,Delegate,34A,Steve Johnson,Democratic,primary,Delegate,3,Ken Kerr,Democratic,primary,Delegate,31,Nic Kipke,Republican,primary,Delegate,39,Lesley Lopez,Democratic,primary,Delegate,,Martinez,,primary,,12A,Terri Hill,Democratic,primary,Delegate,35A,Teresa Reilly,Republican,primary,Delegate,41,Sandy Rosenberg,Democratic,primary,Delegate,7A,Kathy Szeliga,Republican,primary,Delegate,47B,Deni Taveras,Democratic,primary,Delegate,10,Jennifer White Holland,Democratic,primary,Delegate,26,Jamila Woods,Democratic,primary,Delegate,16,Teresa Woorman,Democratic,primary,Delegate,,,,,,,,,,,,,,,,21,Joseline Peña-Melnyk,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,Anne Kaiser,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Aaron Kaufman,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,Jazz Lewis,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,27B,Jeff Long,Democratic,primary,Delegate,41,Malcolm Ruff,Democratic,primary,Delegate,45,Caylin Young,Democratic,primary,Delegate,33C,Heather Bagnall Tudball,Democratic,primary,Delegate,Health Insurance - Utilization Review - Use of Artificial Intelligence
HB 1066,House,"October 1, 2025",2025-02-05,2025-05-20,Approved by the Governor - Chapter 763,bill,https://openstates.org/md/bills/2025/HB1066/,14,Anne Kaiser,Democratic,primary,Delegate,31,Nic Kipke,Republican,primary,Delegate,39,Lesley Lopez,Democratic,primary,Delegate,,Martinez,,primary,,41,Sandy Rosenberg,Democratic,primary,Delegate,47B,Deni Taveras,Democratic,primary,Delegate,26,Jamila Woods,Democratic,primary,Delegate,16,Teresa Woorman,Democratic,primary,Delegate,8,Kim Ross,Democratic,primary,Delegate,,,,,,44B,Sheila Ruth,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,Pam Guzzone,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Joseline Peña-Melnyk,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,Bonnie Cullison,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,Tiffany Alston,Democratic,primary,Delegate,,,,,,,,,,,,,,,,,,,,,,,,,,33C,Heather Bagnall Tudball,Democratic,primary,Delegate,12A,Terri Hill,Democratic,primary,Delegate,37B,Tom Hutchinson,Republican,primary,Delegate,34A,Steve Johnson,Democratic,primary,Delegate,Commission on Behavioral Health Care Treatment and Access - Workgroups
